ID,one_square_meter_price
36,33.5349462365591
39,51.9713261648746
42,57.3720764821556
45,61.6156834456693
46,28.673835125448
48,22.4014336917563
54,45.3629032258065
55,62.9042086847123
56,64.5574457975685
60,81.5833700458499
62,50.7096774193548
65,45.1793620674076
66,62.0204127244282
69,24.9462365591398
79,53.7634408602151
83,59.7890567342096
84,51.4199062586159
87,73.4709400822875
88,71.3042982230969
94,54.4802867383513
102,69.689494009514
105,56.5870299300441
115,54.889096152403
116,52.8225806451613
124,57.7973047622718
126,40.4807084123972
134,55.6982211747048
137,35.84229390681
140,73.2295142751205
145,39.426523297491
146,41.1132194813409
148,72.1425726802071
149,48.5407066052227
153,36.5028211466058
157,93.6249893607967
159,64.5161290322581
160,46.9086021505376
161,51.6129032258065
167,40.255376344086
168,58.9599072630611
182,100.90110555808
184,239.020598523125
189,75.2688172043011
190,63.0936539255724
196,46.4813609742493
199,46.8058191018343
205,71.6845878136201
215,66.7842741935484
219,59.6342823474949
223,58.0434094346924
228,67.6632572777341
230,70.4644246167925
234,57.1236559139785
236,59.1397849462366
237,37.6344086021505
238,61.8388697309645
242,53.2972838585369
252,32.258064516129
253,47.8146676543875
265,61.293644729411
267,52.2273425499232
272,48.8711238797115
274,82.8743771308681
276,23.2974910394265
277,50.4032258064516
279,61.3512847451911
287,42.002688172043
288,58.8957881097817
291,67.7886863020103
297,57.7284259777917
305,79.6495420151334
306,53.7634408602151
307,53.874065224125
310,33.6021505376344
314,70.5865744335428
320,111.36712749616
321,37.1456500488759
338,71.1331679073615
340,38.231780167264
342,62.559384378028
345,53.7634408602151
347,54.2334642167603
354,57.6036866359447
359,40.3225806451613
360,53.7634408602151
369,57.6036866359447
379,35.7825567502987
388,65.5651717807501
390,45.1082880840819
393,52.7295285359802
401,71.6845878136201
404,35.4440461967344
406,56.8066544938121
417,75.2688172043011
424,45.4402303504746
431,56.2967967122671
434,59.4829558453443
435,123.98676592225
438,56.4516129032258
439,42.9749103942652
443,59.1397849462366
447,53.7634408602151
454,84.005376344086
464,58.1540734020714
471,44.8807854137447
473,67.8551216751556
479,56.0035842293907
488,44.9657869012708
489,59.9035552760056
490,60.341240116521
492,53.9854203848237
495,60.0708836426984
496,59.1397849462366
498,42.726290038118
502,68.6735449044447
503,59.1516271138269
517,36.1681329423265
520,75.2164926876488
529,40.4174573055029
531,59.4102367493476
532,53.2954805432499
539,61.0635152383314
541,72.0430107526882
